FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AS,2,SEA,"Seattle, WA",47.449,-122.309306,WA,DCA,"Washington, DC",VA,1410,1407,0,0,11,1418,2131,4,2155,2135,-20,0,0,0,285,268,2329,,,,,
1/1/2015,AS,3,DCA,"Washington, DC",38.852083,-77.037722,VA,SEA,"Seattle, WA",WA,1840,1828,0,0,20,1848,2122,11,2146,2133,-13,0,0,0,366,365,2329,,,,,
1/1/2015,AS,4,SEA,"Seattle, WA",47.449,-122.309306,WA,DCA,"Washington, DC",VA,815,812,0,0,24,836,1550,3,1610,1553,-17,0,0,0,295,281,2329,,,,,
1/1/2015,AS,5,DCA,"Washington, DC",38.852083,-77.037722,VA,LAX,"Los Angeles, CA",CA,915,914,0,0,9,923,1149,8,1210,1157,-13,0,0,0,355,343,2311,,,,,
1/1/2015,AS,6,LAX,"Los Angeles, CA",33.942536,-118.408075,CA,DCA,"Washington, DC",VA,1305,1255,0,0,23,1318,2037,4,2055,2041,-14,0,0,0,290,286,2311,,,,,
1/1/2015,AS,764,PDX,"Portland, OR",45.588722,-122.5975,OR,DCA,"Washington, DC",VA,950,950,0,0,13,1003,1723,4,1740,1727,-13,0,0,0,290,277,2350,,,,,
1/1/2015,AS,771,DCA,"Washington, DC",38.852083,-77.037722,VA,PDX,"Portland, OR",OR,1710,1703,0,0,10,1713,1948,6,2006,1954,-12,0,0,0,356,351,2350,,,,,
1/1/2015,B6,149,DCA,"Washington, DC",38.852083,-77.037722,VA,TPA,"Tampa, FL",FL,1350,1342,0,0,9,1351,1555,20,1620,1615,-5,0,0,0,150,153,814,,,,,
1/1/2015,B6,150,TPA,"Tampa, FL",27.975472,-82.53325,FL,DCA,"Washington, DC",VA,1755,1750,0,0,10,1800,1946,4,2003,1950,-13,0,0,0,128,120,814,,,,,
1/1/2015,B6,350,TPA,"Tampa, FL",27.975472,-82.53325,FL,DCA,"Washington, DC",VA,735,719,0,0,17,736,923,5,939,928,-11,0,0,0,124,129,814,,,,,
1/1/2015,B6,56,IAD,"Washington, DC",38.944533,-77.455811,VA,BOS,"Boston, MA",MA,938,1225,167,1,11,1236,1342,3,1102,1345,163,163,0,0,84,80,413,163,0,0,0,0
1/1/2015,B6,57,BOS,"Boston, MA",42.364347,-71.005181,MA,IAD,"Washington, DC",VA,610,603,0,0,18,621,734,3,801,737,-24,0,0,0,111,94,413,,,,,
1/1/2015,B6,79,DCA,"Washington, DC",38.852083,-77.037722,VA,FLL,"Fort Lauderdale, FL",FL,2140,2127,0,0,11,2138,2341,8,12,2349,-23,0,0,0,152,142,899,,,,,
1/1/2015,B6,80,FLL,"Fort Lauderdale, FL",26.072583,-80.15275,FL,DCA,"Washington, DC",VA,2059,2059,0,0,10,2109,2311,3,2318,2314,-4,0,0,0,139,135,899,,,,,
1/1/2015,B6,99,BDL,"Hartford, CT",41.938889,-72.683222,CT,DCA,"Washington, DC",VA,615,607,0,0,13,620,727,5,755,732,-23,0,0,0,100,85,313,,,,,
1/1/2015,B6,289,BOS,"Boston, MA",42.364347,-71.005181,MA,DCA,"Washington, DC",VA,700,650,0,0,13,703,811,3,851,814,-37,0,0,0,111,84,399,,,,,
1/1/2015,B6,290,DCA,"Washington, DC",38.852083,-77.037722,VA,BOS,"Boston, MA",MA,831,829,0,0,13,842,945,5,958,950,-8,0,0,0,87,81,399,,,,,
1/1/2015,B6,249,DCA,"Washington, DC",38.852083,-77.037722,VA,TPA,"Tampa, FL",FL,1115,1103,0,0,9,1112,1313,5,1344,1318,-26,0,0,0,149,135,814,,,,,
1/1/2015,B6,250,TPA,"Tampa, FL",27.975472,-82.53325,FL,DCA,"Washington, DC",VA,1420,1405,0,0,9,1414,1602,3,1630,1605,-25,0,0,0,130,120,814,,,,,
1/1/2015,B6,433,DCA,"Washington, DC",38.852083,-77.037722,VA,PBI,"West Palm Beach/Palm Beach, FL",FL,757,742,0,0,17,759,959,2,1025,1001,-24,0,0,0,148,139,857,,,,,
1/1/2015,B6,389,BOS,"Boston, MA",42.364347,-71.005181,MA,DCA,"Washington, DC",VA,845,842,0,0,15,857,1011,3,1029,1014,-15,0,0,0,104,92,399,,,,,
1/1/2015,B6,390,DCA,"Washington, DC",38.852083,-77.037722,VA,BOS,"Boston, MA",MA,1105,1103,0,0,14,1117,1221,3,1229,1224,-5,0,0,0,84,81,399,,,,,
1/1/2015,B6,589,BOS,"Boston, MA",42.364347,-71.005181,MA,DCA,"Washington, DC",VA,1115,1110,0,0,17,1127,1243,5,1257,1248,-9,0,0,0,102,98,399,,,,,
1/1/2015,B6,590,DCA,"Washington, DC",38.852083,-77.037722,VA,BOS,"Boston, MA",MA,1357,1353,0,0,13,1406,1508,4,1522,1512,-10,0,0,0,85,79,399,,,,,
1/1/2015,B6,599,BDL,"Hartford, CT",41.938889,-72.683222,CT,DCA,"Washington, DC",VA,1805,1756,0,0,9,1805,1916,4,1937,1920,-17,0,0,0,92,84,313,,,,,
1/1/2015,B6,798,DCA,"Washington, DC",38.852083,-77.037722,VA,BDL,"Hartford, CT",CT,845,830,0,0,10,840,931,24,1005,955,-10,0,0,0,80,85,313,,,,,
1/1/2015,B6,456,IAD,"Washington, DC",38.944533,-77.455811,VA,BOS,"Boston, MA",MA,1455,1451,0,0,11,1502,1605,2,1620,1607,-13,0,0,0,85,76,413,,,,,
1/1/2015,B6,457,BOS,"Boston, MA",42.364347,-71.005181,MA,IAD,"Washington, DC",VA,1235,1234,0,0,21,1255,1414,3,1419,1417,-2,0,0,0,104,103,413,,,,,
